,600820:207000,000541:89850,600256:13000,000027:30000,002939:500,601577:1000,601138:500,sh,total 
2018-01-12,8.37,9.21,5.0,6.13,9.09,11.51,19.83,3428.94,2834978.5
2018-01-11,8.42,9.29,5.11,6.14,9.09,11.51,19.83,3425.34,2854246.5
2018-01-10,8.44,9.29,5.25,6.15,9.09,11.51,19.83,3421.83,2860506.5
2018-01-09,8.52,9.35,5.11,6.14,9.09,11.51,19.83,3413.9,2880337.5
2018-01-08,8.61,9.39,5.11,6.19,9.09,11.51,19.83,3409.48,2904061.5
2018-01-05,8.64,9.21,5.05,6.17,9.09,11.51,19.83,3391.75,2892718.5000000005
2018-01-04,8.53,9.25,5.24,6.13,9.09,11.51,19.83,3385.71,2874812.5
2018-01-03,8.54,9.26,5.2,6.13,9.09,11.51,19.83,3369.11,2877261.0
2018-01-02,8.52,9.25,5.19,6.1,9.09,11.51,19.83,3348.33,2871192.5
2017-12-29,8.35,9.2,5.06,6.06,9.09,11.51,19.83,3307.17,2828620.0
2017-12-28,8.27,9.11,5.06,6.03,9.09,11.51,19.83,3296.38,2803073.5
2017-12-27,8.27,9.06,5.13,6.04,9.09,11.51,19.83,3275.78,2799791.0
2017-12-26,8.29,9.13,5.41,6.07,9.09,11.51,19.83,3306.12,2814760.5
2017-12-25,8.15,9.0,5.29,6.06,9.09,11.51,19.83,3280.46,2772240.0
2017-12-22,8.24,9.08,5.46,6.15,9.09,11.51,19.83,3297.06,2802968.0
2017-12-21,8.31,9.04,5.43,6.06,9.09,11.51,19.83,3300.06,2810774.0
2017-12-20,8.38,9.03,5.35,6.05,9.09,11.51,19.83,3287.61,2823025.5
2017-12-19,8.52,9.11,5.1,6.07,9.09,11.51,19.83,3296.54,2856543.5
2017-12-18,8.5,9.03,4.94,6.05,9.09,11.51,19.83,3267.92,2842535.5
2017-12-15,8.45,9.1,5.06,6.11,9.09,11.51,19.83,3266.14,2841835.0
2017-12-14,8.46,9.25,5.05,6.05,9.09,11.51,19.83,3292.44,2855452.5
2017-12-13,8.47,9.22,4.77,6.05,9.09,11.51,19.83,3303.04,2851187.0
2017-12-12,8.49,9.19,4.89,6.03,9.09,11.51,19.83,3280.81,2853591.5
